symbol,time,open,high,low,close,tick_volume,spread,real_volume
XAUUSD,2024-10-14 23:05:00,2649.07,2649.61,2647.97,2648.67,151,30,0
XAUUSD,2024-10-14 23:10:00,2648.91,2649.21,2648.38,2648.81,100,30,0
XAUUSD,2024-10-14 23:15:00,2648.84,2649.15,2648.3,2648.58,129,30,0
XAUUSD,2024-10-14 23:20:00,2648.6,2649.41,2648.37,2649.09,129,30,0
XAUUSD,2024-10-14 23:25:00,2649.08,2650.16,2649.08,2650.15,153,30,0
XAUUSD,2024-10-14 23:30:00,2650.15,2650.15,2649.61,2649.86,116,30,0
XAUUSD,2024-10-14 23:35:00,2649.86,2650.16,2649.63,2649.84,82,30,0
XAUUSD,2024-10-14 23:40:00,2649.84,2650.37,2649.65,2649.87,80,30,0
XAUUSD,2024-10-14 23:45:00,2649.87,2650.28,2649.56,2650.17,89,30,0
XAUUSD,2024-10-14 23:50:00,2650.18,2650.18,2649.72,2649.89,78,30,0
XAUUSD,2024-10-14 23:55:00,2649.89,2650.17,2649.72,2649.85,80,30,0
XAUUSD,2024-10-15 00:00:00,2649.97,2650.63,2649.87,2650.45,151,17,0
XAUUSD,2024-10-15 00:05:00,2650.45,2650.68,2650.14,2650.54,84,17,0
XAUUSD,2024-10-15 00:10:00,2650.54,2651.03,2650.53,2650.81,134,17,0
XAUUSD,2024-10-15 00:15:00,2650.81,2650.81,2650.27,2650.44,128,17,0
XAUUSD,2024-10-15 00:20:00,2650.43,2650.77,2650.29,2650.31,132,17,0
XAUUSD,2024-10-15 00:25:00,2650.31,2650.7,2650.29,2650.42,62,17,0
XAUUSD,2024-10-15 00:30:00,2650.42,2650.56,2650.03,2650.31,93,17,0
XAUUSD,2024-10-15 00:35:00,2650.33,2650.64,2650.09,2650.35,183,17,0
XAUUSD,2024-10-15 00:40:00,2650.36,2650.59,2649.36,2649.5,296,17,0
XAUUSD,2024-10-15 00:45:00,2649.5,2650.23,2649.33,2650.23,269,17,0
XAUUSD,2024-10-15 00:50:00,2650.23,2650.23,2649.54,2649.56,170,17,0
XAUUSD,2024-10-15 00:55:00,2649.56,2650.04,2648.91,2649.35,220,17,0
XAUUSD,2024-10-15 01:00:00,2649.35,2650.16,2649.05,2649.83,505,17,0
XAUUSD,2024-10-15 01:05:00,2649.81,2650.22,2648.83,2649.44,387,17,0
XAUUSD,2024-10-15 01:10:00,2649.46,2649.87,2648.49,2648.54,355,17,0
XAUUSD,2024-10-15 01:15:00,2648.55,2648.8,2647.92,2648.23,337,17,0
XAUUSD,2024-10-15 01:20:00,2648.23,2649.24,2648.2,2648.91,315,17,0
XAUUSD,2024-10-15 01:25:00,2648.91,2649.59,2648.82,2649.45,321,17,0
XAUUSD,2024-10-15 01:30:00,2649.45,2650.27,2649.33,2649.33,344,17,0
XAUUSD,2024-10-15 01:35:00,2649.49,2649.71,2648.44,2648.67,265,17,0
XAUUSD,2024-10-15 01:40:00,2648.67,2649.15,2647.8,2648.41,332,17,0
XAUUSD,2024-10-15 01:45:00,2648.41,2648.95,2647.83,2648.42,328,17,0
XAUUSD,2024-10-15 01:50:00,2648.41,2648.8,2648.12,2648.52,274,17,0
XAUUSD,2024-10-15 01:55:00,2648.55,2648.96,2648.15,2648.15,279,17,0
XAUUSD,2024-10-15 02:00:00,2648.1,2649.95,2647.73,2649.23,636,17,0
XAUUSD,2024-10-15 02:05:00,2649.23,2649.45,2647.65,2648.15,548,17,0
XAUUSD,2024-10-15 02:10:00,2648.15,2649.79,2647.93,2648.63,436,17,0
XAUUSD,2024-10-15 02:15:00,2648.62,2648.8,2647.21,2648.8,515,17,0
XAUUSD,2024-10-15 02:20:00,2648.76,2649.71,2648.16,2649.33,431,17,0
XAUUSD,2024-10-15 02:25:00,2649.33,2650.49,2649.09,2650.25,430,17,0
XAUUSD,2024-10-15 02:30:00,2650.22,2650.52,2649.18,2649.7,583,17,0
XAUUSD,2024-10-15 02:35:00,2649.69,2651.3,2649.32,2650.31,555,17,0
XAUUSD,2024-10-15 02:40:00,2650.31,2650.73,2647.99,2648.96,509,17,0
XAUUSD,2024-10-15 02:45:00,2648.92,2650.33,2648.8,2649.09,493,17,0
XAUUSD,2024-10-15 02:50:00,2649.09,2650.33,2648.91,2649.38,407,17,0
XAUUSD,2024-10-15 02:55:00,2649.41,2649.49,2648.0,2648.42,548,17,0
XAUUSD,2024-10-15 03:00:00,2648.38,2650.62,2648.15,2650.29,594,17,0
XAUUSD,2024-10-15 03:05:00,2650.27,2650.63,2649.57,2649.77,479,17,0
XAUUSD,2024-10-15 03:10:00,2649.77,2649.93,2648.83,2649.51,506,17,0
XAUUSD,2024-10-15 03:15:00,2649.5,2650.32,2649.46,2650.1,278,17,0
XAUUSD,2024-10-15 03:20:00,2650.11,2652.47,2650.11,2652.05,497,17,0
XAUUSD,2024-10-15 03:25:00,2652.05,2652.86,2651.58,2651.91,405,17,0
XAUUSD,2024-10-15 03:30:00,2651.83,2652.28,2651.02,2651.1,564,17,0
XAUUSD,2024-10-15 03:35:00,2651.09,2652.3,2650.65,2651.78,455,17,0
XAUUSD,2024-10-15 03:40:00,2651.77,2651.97,2649.74,2649.82,492,17,0
XAUUSD,2024-10-15 03:45:00,2649.81,2650.37,2648.46,2649.24,543,17,0
